@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,10861,0,4041,0,1,1,0.728828,1,0.271172,0.843147,1,1,0
1,10861,0,4039,2,0.999505,1,0.728926,1,0.271074,0.843213,0.999866,1.000134,0.002
2,10861,0,4034,7,0.998268,1,0.729171,1,0.270829,0.843376,0.99953,1.00047,0.004
3,10861,0,4031,10,0.997525,1,0.729318,1,0.270682,0.843475,0.999329,1.000672,0.006
4,10860,1,4026,15,0.996288,0.999908,0.729545,0.999908,0.270455,0.843593,0.998926,1.000983,0.008
5,10859,2,4019,22,0.994556,0.999816,0.72987,0.999816,0.27013,0.843778,0.998389,1.001429,0.009
6,10859,2,4018,23,0.994308,0.999816,0.729919,0.999816,0.270081,0.843811,0.998322,1.001496,0.01
7,10859,2,4007,34,0.991586,0.999816,0.730459,0.999816,0.269541,0.844171,0.997584,1.002237,0.0104
8,10858,3,4007,34,0.991586,0.999724,0.730441,0.999724,0.269559,0.844127,0.997517,1.002212,0.012
9,10858,3,3989,52,0.987132,0.999724,0.731326,0.999724,0.268674,0.844718,0.996309,1.003427,0.014
10,10858,3,3977,64,0.984162,0.999724,0.731918,0.999724,0.268082,0.845112,0.995504,1.004239,0.014667
11,10858,3,3976,65,0.983915,0.999724,0.731967,0.999724,0.268033,0.845145,0.995437,1.004307,0.016
12,10857,4,3966,75,0.98144,0.999632,0.732443,0.999632,0.267557,0.845429,0.994699,1.004959,0.0176
13,10857,4,3965,76,0.981193,0.999632,0.732492,0.999632,0.267508,0.845462,0.994632,1.005027,0.018
14,10855,6,3955,86,0.978718,0.999448,0.732951,0.999448,0.267049,0.845701,0.993826,1.005656,0.02
15,10855,6,3940,101,0.975006,0.999448,0.733694,0.999448,0.266306,0.846196,0.99282,1.006676,0.022
16,10855,6,3929,112,0.972284,0.999448,0.73424,0.999448,0.26576,0.846559,0.992082,1.007425,0.024
17,10853,8,3918,123,0.969562,0.999263,0.734751,0.999263,0.265249,0.846832,0.991209,1.008126,0.026
18,10853,8,3900,141,0.965108,0.999263,0.735647,0.999263,0.264353,0.847427,0.990001,1.009356,0.027
19,10853,8,3899,142,0.96486,0.999263,0.735697,0.999263,0.264303,0.84746,0.989934,1.009424,0.028
20,10852,9,3884,157,0.961148,0.999171,0.736428,0.999171,0.263572,0.847912,0.988861,1.010427,0.029733
21,10852,9,3883,158,0.960901,0.999171,0.736478,0.999171,0.263522,0.847945,0.988793,1.010496,0.03
22,10850,11,3865,176,0.956446,0.998987,0.737343,0.998987,0.262657,0.848452,0.987451,1.011682,0.032
