@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,4041,0,10861,0,1,1,0.271172,1,0.728828,0.426648,1,1,0
1,4029,12,10082,779,0.928275,0.99703,0.285522,0.99703,0.714478,0.443918,0.94692,1.05292,0.0004
2,4029,12,10081,780,0.928183,0.99703,0.285542,0.99703,0.714458,0.443942,0.946853,1.052994,0.000667
3,4029,12,10079,782,0.927999,0.99703,0.285583,0.99703,0.714417,0.443991,0.946719,1.053143,0.002
4,4022,19,9568,1293,0.88095,0.995298,0.295953,0.995298,0.704047,0.456242,0.911958,1.091386,0.0024
5,4022,19,9567,1294,0.880858,0.995298,0.295975,0.995298,0.704025,0.456268,0.911891,1.091466,0.002667
6,4022,19,9566,1295,0.880766,0.995298,0.295996,0.995298,0.704004,0.456294,0.911824,1.091546,0.003
7,4022,19,9563,1298,0.88049,0.995298,0.296062,0.995298,0.703938,0.456371,0.911623,1.091788,0.0035
8,4022,19,9562,1299,0.880398,0.995298,0.296084,0.995298,0.703916,0.456397,0.911555,1.091868,0.003667
9,4022,19,9561,1300,0.880306,0.995298,0.296105,0.995298,0.703895,0.456423,0.911488,1.091948,0.003667
10,4022,19,9560,1301,0.880214,0.995298,0.296127,0.995298,0.703873,0.456449,0.911421,1.092029,0.0039
11,4022,19,9559,1302,0.880122,0.995298,0.296149,0.995298,0.703851,0.456475,0.911354,1.092109,0.004
12,4013,28,9193,1668,0.846423,0.993071,0.303877,0.993071,0.696123,0.465356,0.88619,1.120608,0.004667
13,4013,28,9190,1671,0.846147,0.993071,0.303946,0.993071,0.696054,0.465437,0.885988,1.120862,0.0048
14,4013,28,9189,1672,0.846055,0.993071,0.303969,0.993071,0.696031,0.465464,0.885921,1.120947,0.004833
15,4013,28,9188,1673,0.845963,0.993071,0.303992,0.993071,0.696008,0.465491,0.885854,1.121032,0.005
16,4013,28,9187,1674,0.845871,0.993071,0.304015,0.993071,0.695985,0.465518,0.885787,1.121117,0.005267
17,4013,28,9186,1675,0.845778,0.993071,0.304038,0.993071,0.695962,0.465545,0.88572,1.121202,0.0055
18,4013,28,9185,1676,0.845686,0.993071,0.304061,0.993071,0.695939,0.465572,0.885653,1.121287,0.0056
19,4013,28,9184,1677,0.845594,0.993071,0.304084,0.993071,0.695916,0.465599,0.885586,1.121372,0.006
20,4008,33,8904,1957,0.819814,0.991834,0.310409,0.991834,0.689591,0.472837,0.866461,1.144695,0.0064
21,4008,33,8903,1958,0.819722,0.991834,0.310433,0.991834,0.689567,0.472865,0.866394,1.144784,0.0066
22,4008,33,8902,1959,0.81963,0.991834,0.310457,0.991834,0.689543,0.472892,0.866327,1.144873,0.006667
23,4008,33,8901,1960,0.819538,0.991834,0.310481,0.991834,0.689519,0.47292,0.86626,1.144961,0.006833
24,4008,33,8900,1961,0.819446,0.991834,0.310505,0.991834,0.689495,0.472948,0.866192,1.14505,0.007
25,4008,33,8898,1963,0.819262,0.991834,0.310553,0.991834,0.689447,0.473004,0.866058,1.145227,0.008
26,4003,38,8663,2198,0.797625,0.990596,0.316043,0.990596,0.683957,0.4792,0.849953,1.165472,0.0085
27,4003,38,8662,2199,0.797532,0.990596,0.316068,0.990596,0.683932,0.479229,0.849886,1.165564,0.008667
28,4003,38,8658,2203,0.797164,0.990596,0.316168,0.990596,0.683832,0.479344,0.849618,1.165932,0.009
29,4003,38,8657,2204,0.797072,0.990596,0.316193,0.990596,0.683807,0.479372,0.84955,1.166024,0.0092
30,4003,38,8656,2205,0.79698,0.990596,0.316218,0.990596,0.683782,0.479401,0.849483,1.166116,0.009433
31,4003,38,8655,2206,0.796888,0.990596,0.316243,0.990596,0.683757,0.47943,0.849416,1.166209,0.0095
32,4003,38,8653,2208,0.796704,0.990596,0.316293,0.990596,0.683707,0.479487,0.849282,1.166393,0.01
33,3995,46,8437,2424,0.776816,0.988617,0.321348,0.988617,0.678652,0.485036,0.83425,1.185036,0.010733
34,3995,46,8436,2425,0.776724,0.988617,0.321374,0.988617,0.678626,0.485066,0.834183,1.185131,0.0108
35,3995,46,8435,2426,0.776632,0.988617,0.3214,0.988617,0.6786,0.485095,0.834116,1.185227,0.011
36,3995,46,8432,2429,0.776356,0.988617,0.321477,0.988617,0.678523,0.485183,0.833915,1.185513,0.0112
37,3995,46,8431,2430,0.776264,0.988617,0.321503,0.988617,0.678497,0.485213,0.833848,1.185608,0.011333
38,3995,46,8430,2431,0.776172,0.988617,0.321529,0.988617,0.678471,0.485242,0.833781,1.185703,0.011333
39,3995,46,8429,2432,0.77608,0.988617,0.321555,0.988617,0.678445,0.485272,0.833714,1.185799,0.011571
40,3995,46,8428,2433,0.775987,0.988617,0.321581,0.988617,0.678419,0.485301,0.833646,1.185894,0.012
41,3995,46,8427,2434,0.775895,0.988617,0.321607,0.988617,0.678393,0.485331,0.833579,1.18599,0.012
