@relation R_data_frame

@attribute chou_fasman numeric
@attribute emini numeric
@attribute kolaskar_tongaonkar numeric
@attribute parker numeric
@attribute isoelectric_point numeric
@attribute aromaticity numeric
@attribute hydrophobicity numeric
@attribute stability numeric
@attribute target {Non-promoting,Promoting}

@data
1.016,0.703,1.018,2.22,5.810364,0.103275,-0.143829,40.2733,Promoting
0.77,0.179,1.199,-3.86,6.210876,0.065476,-0.036905,24.998512,Promoting
0.852,3.427,0.96,4.28,8.223938,0.091787,0.879227,27.863333,Promoting
1.41,2.548,0.936,6.32,4.237976,0.044776,-0.521393,30.765373,Promoting
1.214,1.908,0.937,4.64,6.867493,0.103846,-0.578846,21.684615,Promoting
0.928,0.547,1.09,0.9,6.867493,0.103846,-0.578846,21.684615,Promoting
0.888,0.633,0.974,2.66,6.867493,0.103846,-0.578846,21.684615,Promoting
0.814,1.252,1.007,2,6.867493,0.103846,-0.578846,21.684615,Promoting
1.016,1.042,1.055,4.62,6.867493,0.103846,-0.578846,21.684615,Promoting
0.9,1.301,0.98,0.42,5.193909,0.085492,-0.001036,37.108575,Promoting
1.2,1.832,0.97,3.28,7.513855,0.04375,0.55125,28.636875,Promoting
1.224,0.368,1.146,2.8,7.96991,0.066667,-0.753333,137.046667,Promoting
1.176,0.828,1.057,3.1,7.96991,0.066667,-0.753333,137.046667,Non-promoting
1.132,1.53,1.113,2.46,7.96991,0.066667,-0.753333,137.046667,Non-promoting
1.102,0.437,1.211,1.82,6.962585,0.076923,-0.153846,125.076923,Non-promoting
0.916,1.757,1.04,1.7,6.899475,0.125828,0.256291,20.358278,Promoting
1.274,1.503,1.038,4.98,5.60675,0.10846,0.280694,29.829957,Promoting
1.232,1.546,0.933,2.24,5.60675,0.10846,0.280694,29.829957,Promoting
1.084,1.429,1.06,3.16,5.075623,0.097695,0.213282,48.22427,Promoting
1.064,0.407,1.115,-1.4,5.639099,0.08,-0.344,50.4521,Non-promoting
1.092,1.308,0.974,4.74,4.201965,0.05102,-0.405102,62.99898,Promoting
1.184,0.51,1.026,2.82,6.791321,0.063508,-0.825907,74.154335,Promoting
1.014,0.345,1.083,-0.6,6.791321,0.063508,-0.825907,74.154335,Promoting
1.21,1.484,1.016,4.58,8.581116,0.090543,-0.424145,35.780926,Non-promoting
0.822,0.11,1.157,-4.18,4.98822,0.060606,-0.615488,43.388552,Promoting
1.198,2.614,0.923,4.38,4.487366,0.055092,-0.691987,68.596661,Promoting
1.042,1.919,0.984,4.26,10.843933,0.025773,-1.07268,22.589175,Promoting
1.158,1.927,1.045,1.72,9.000427,0.056769,-0.175109,49.031878,Promoting
0.92,3.008,0.88,5.22,9.940857,0.050343,-1.839817,79.509611,Promoting
1.008,1.37,1.079,2.36,4.4328,0.082915,-0.139196,25.155804,Promoting
0.918,1.106,1.03,3.86,7.959167,0.05255,-0.091345,47.925348,Promoting
0.836,0.414,1.192,-2.8,7.959167,0.05255,-0.091345,47.925348,Promoting
0.952,1.006,1.002,3.34,7.959167,0.05255,-0.091345,47.925348,Promoting
0.97,1.168,0.957,5.56,5.707703,0.083721,-1.608837,44.21814,Promoting
0.918,0.966,1.038,1.76,5.520935,0.094972,-0.535754,34.750307,Promoting
1.006,0.764,1.03,0.38,8.447571,0.098361,0.106557,53.259426,Promoting
0.798,1.368,0.974,1.54,9.22699,0.058242,-0.146593,34.985835,Promoting
1.036,2.76,0.944,5.16,9.22699,0.058242,-0.146593,34.985835,Promoting
1,1.022,1.038,-0.3,9.22699,0.058242,-0.146593,34.985835,Promoting
1.26,2.465,0.88,5.04,9.22699,0.058242,-0.146593,34.985835,Promoting
0.91,0.781,1.005,0.92,9.869202,0.038095,-0.929524,53.02,Promoting
0.83,0.23,1.026,-0.56,9.869202,0.038095,-0.929524,53.02,Promoting
1.264,2.06,0.909,5.68,9.869202,0.038095,-0.929524,53.02,Promoting
0.91,0.913,1.065,0.92,9.869202,0.038095,-0.929524,53.02,Promoting
1.196,0.832,0.957,0.16,5.488342,0.070755,-0.111321,47.890566,Promoting
1.324,0.428,0.906,2.62,9.556091,0.117188,-0.519922,39.369531,Promoting
1.14,2.111,0.961,3.96,8.715515,0.070313,0.071094,49.101172,Non-promoting
0.908,1.712,0.95,4.42,8.729919,0.056022,-0.920728,46.652381,Promoting
0.896,0.467,1.092,1.74,6.648499,0.089783,0.450155,30.450495,Promoting
1.186,2.412,0.911,4.08,11.713196,0.064286,-0.622857,79.027143,Promoting
1.282,1.651,0.939,4.54,11.713196,0.064286,-0.622857,79.027143,Promoting
0.866,1.51,0.939,2.84,8.711487,0.148014,0.550181,18.89065,Promoting
1.01,1.295,1.091,0.06,9.264221,0.074074,0.553086,31.772963,Promoting
1.212,1.789,0.976,4.02,8.417297,0.048193,-0.514458,48.718072,Promoting
1.208,1.174,0.938,4.88,5.074402,0.051948,-0.264935,40.165584,Promoting
1.116,2.051,1.001,1.92,6.309387,0.080229,0.088825,30.886562,Promoting
0.984,1.909,0.997,2.54,6.665466,0.051073,-0.30286,56.004607,Promoting
1.13,1.232,0.925,2.7,4.957336,0.103293,-0.072754,28.869476,Promoting
1.066,1.861,1.001,4.9,7.651794,0.07888,-0.124173,57.985013,Promoting
0.922,0.968,1.077,-2,6.958801,0.063069,-0.269446,56.658809,Non-promoting
0.976,0.482,1.025,-2.78,5.638611,0.083019,-0.013585,37.453792,Promoting
0.654,0.223,1.17,-1.76,6.184753,0.07221,-0.6814,45.240481,Non-promoting
0.966,0.981,1.027,1.04,6.184753,0.07221,-0.6814,45.240481,Non-promoting
0.808,0.459,1.056,0.3,6.184753,0.07221,-0.6814,45.240481,Non-promoting
0.826,0.572,1.068,-3.34,6.184753,0.07221,-0.6814,45.240481,Non-promoting
0.648,0.278,1.096,-1.28,6.184753,0.07221,-0.6814,45.240481,Non-promoting
1.052,1.414,1.043,2.7,6.184753,0.07221,-0.6814,45.240481,Non-promoting
1.174,1.315,0.95,3.42,5.901794,0.06801,-0.392443,39.641587,Promoting
0.832,0.645,1.083,0.25,4.868713,0.027273,0.008909,32.973091,Promoting
0.93,0.757,1.027,0.05,5.810364,0.103275,-0.143829,40.2733,Promoting
0.775,0.228,1.14,-0.467,5.810364,0.103275,-0.143829,40.2733,Promoting
1.225,1.573,0.978,4.233,5.496521,0.077084,-0.523419,40.989828,Promoting
1.247,1.627,1.043,2.333,6.342712,0.100694,-0.152604,39.030556,Promoting
1.058,1.09,0.996,1.333,9.081726,0.071429,-0.032753,39.51378,Promoting
1.197,0.847,0.97,4.017,9.192078,0.099119,-0.394934,55.117621,Promoting
1.133,0.608,1.117,2.483,7.450256,0.095238,-0.182993,21.079592,Promoting
0.963,0.255,1.093,-0.333,6.015198,0.080577,-0.320265,42.473193,Promoting
0.785,0.265,1.069,-2.6,7.565247,0.071161,-0.913483,50.9,Promoting
1.218,0.181,1.19,2.567,7.96991,0.066667,-0.753333,137.046667,Promoting
1.28,0.335,1.1,3.283,7.96991,0.066667,-0.753333,137.046667,Promoting
1.203,1.391,1.073,3,7.96991,0.066667,-0.753333,137.046667,Non-promoting
1.213,1.42,1.082,3.25,7.96991,0.066667,-0.753333,137.046667,Non-promoting
1.24,1.223,1.01,3.75,7.96991,0.066667,-0.753333,137.046667,Promoting
1.138,1.035,1.065,2.933,7.96991,0.066667,-0.753333,137.046667,Non-promoting
1.117,0.236,1.245,1.75,6.962585,0.076923,-0.153846,125.076923,Promoting
1.123,1.206,1.071,2.033,6.962585,0.076923,-0.153846,125.076923,Non-promoting
1.315,1.783,1.028,4.067,8.534729,0.071429,-0.557143,92.878571,Non-promoting
0.933,0.591,1.067,-0.133,4.980286,0.093458,-0.481308,56.023458,Promoting
